# Rt Group Reward Records - Total groups: 322
# Initial μ: 1, Initial loss rate: 0.01
# Hybrid loss enabled: 1
frame_id,Rt_value,loss_rate,mu_used,avg_reward,group_delay_ms,packet_count,group_start_time,group_end_time,bandwidth_utilization,p_delay,p_loss,p_mddl
262,0,0.008,1,-1.9501,929,30,252.762,253.691,0.0672365,0.13,0,0.966667
263,0,0.008,1,-1.92221,962,30,253.705,254.667,0.0954121,0.13,0,0.966667
264,0,0.008,1,-1.94291,996,30,254.682,255.678,0.0745029,0.13,0,0.966667
265,0,0.008,1,-1.96446,960,30,255.692,256.652,0.052731,0.13,0,0.966667
266,0,0.008,1,-1.95297,993,30,256.669,257.662,0.0643439,0.13,0,0.966667
267,0,0.008,1,-1.93783,1031,30,257.677,258.708,0.079632,0.13,0,0.966667
268,0,0.008,1,-1.94722,960,30,258.723,259.683,0.0701492,0.13,0,0.966667
269,0,0.008,1,-1.91413,964,30,259.698,260.662,0.10357,0.13,0,0.966667
270,0,0.008,1,-1.9725,947,30,260.676,261.623,0.0446174,0.13,0,0.966667
271,0,0.008,1,-1.9561,938,30,261.637,262.575,0.0611829,0.13,0,0.966667
272,0,0.008,1,-1.96468,929,30,262.588,263.517,0.0525142,0.13,0,0.966667
273,0,0.008,1,-1.94958,998,30,263.532,264.53,0.0677621,0.13,0,0.966667
274,0,0.008,1,-1.92931,897,30,264.528,265.425,0.0882343,0.13,0,0.966667
275,0,0.008,1,-1.94028,995,30,265.44,266.435,0.077157,0.13,0,0.966667
276,0,0.008,1,-1.95688,963,30,266.449,267.412,0.0603938,0.13,0,0.966667
277,0,0.008,1,-1.93639,963,30,267.426,268.389,0.0810878,0.13,0,0.966667
278,0,0.008,1,-1.93889,960,30,268.404,269.364,0.078559,0.13,0,0.966667
279,0,0.008,1,-1.94811,961,30,269.379,270.34,0.0692493,0.13,0,0.966667
280,0,0.008,1,-1.93776,990,30,270.355,271.345,0.0797018,0.13,0,0.966667
281,0,0.008,1,-1.97147,941,30,271.358,272.299,0.0456533,0.13,0,0.966667
282,0,0.008,1,-1.96773,997,30,272.314,273.311,0.0494273,0.13,0,0.966667
283,0,0.008,1,-1.93189,931,30,273.325,274.256,0.0856351,0.13,0,0.966667
284,0,0.008,1,-1.93994,996,30,274.27,275.266,0.0775035,0.13,0,0.966667
285,0,0.008,1,-1.94645,997,30,275.28,276.277,0.0709308,0.13,0,0.966667
286,0,0.008,1,-1.95135,929,30,276.291,277.22,0.0659795,0.13,0,0.966667
287,0,0.008,1,-1.94256,995,30,277.235,278.23,0.0748535,0.13,0,0.966667
288,0,0.008,1,-1.94846,961,30,278.245,279.206,0.0688979,0.13,0,0.966667
289,0,0.008,1,-1.94004,1008,30,279.223,280.231,0.0774011,0.13,0,0.966667
290,0,0.008,1,-1.95067,988,30,280.244,281.232,0.0666668,0.13,0,0.966667
291,0,0.008,1,-1.95113,962,30,281.247,282.209,0.0662036,0.13,0,0.966667
292,0,0.008,1,-1.93962,965,30,282.223,283.188,0.0778287,0.13,0,0.966667
